0, 0
1, 2
2, 3
3, 8
4, 8
5, 10
6, 12
7, 13
8, 15
9, 17
10, 19
11, 20
12, 24
13, 24
14, 27
15, 27
16, 31
17, 35
18, 34
19, 37
20, 40
21, 40
22, 43
23, 44
24, 43
25, 46
26, 47
27, 50
28, 53
29, 56
30, 55
31, 57
32, 58
33, 61
34, 65
35, 64
36, 65
37, 69
38, 70
39, 72
40, 73
41, 76
42, 79
43, 82
44, 81
45, 85
46, 86
47, 87
48, 97
49, 95
50, 104
51, 103
52, 98
53, 98
54, 103
55, 102
56, 106
57, 103
58, 108
59, 107
60, 107
61, 114
62, 117
63, 123
64, 123
65, 125
66, 125
67, 126
68, 128
69, 129
70, 130
71, 132
72, 135
73, 137
74, 139
75, 139
76, 143
77, 146
78, 148
79, 152
80, 150
81, 152
82, 156
83, 156
84, 158
85, 158
86, 159
87, 161
88, 175
89, 166
90, 174
91, 176
92, 181
93, 178
94, 175
95, 188
96, 179
97, 183
98, 182
99, 194
100, 190
