0, 0
1, 2
2, 4
3, 4
4, 6
5, 6
6, 7
7, 6
8, 9
9, 8
10, 8
11, 8
12, 7
13, 8
14, 8
15, 6
16, 9
17, 9
18, 10
19, 10
20, 10
21, 9
22, 10
23, 11
24, 9
25, 9
26, 10
27, 9
28, 10
29, 9
30, 10
31, 11
32, 11
33, 12
34, 13
35, 13
36, 12
37, 12
38, 11
39, 12
40, 12
41, 12
42, 13
43, 12
44, 13
45, 11
46, 12
47, 13
48, 11
49, 10
50, 10
51, 11
52, 11
53, 13
54, 12
55, 12
56, 12
57, 12
58, 11
59, 12
60, 12
61, 11
62, 12
63, 12
64, 13
65, 14
66, 13
67, 14
68, 13
69, 14
70, 14
71, 14
72, 14
73, 13
74, 13
75, 14
76, 14
77, 14
78, 13
79, 13
80, 13
81, 14
82, 14
83, 15
84, 12
85, 13
86, 14
87, 14
88, 14
89, 13
90, 14
91, 14
92, 15
93, 14
94, 13
95, 13
96, 13
97, 14
98, 14
99, 14
100, 13
